_link,_link_main,id,title,description
846.tender.criteria.6,846,64156,Other Eligibility: VAT and PAN Registration certificate,VAT and PAN Registration certificate (only for domestic bidders) should be attached. Single Entity and each partners of existing or intended JV must meet this requirement.
846.tender.criteria.7,846,64157,Other Eligibility: Tax Clearance certificate,Tax Clearance Certificate/Tax return submission evidence for the F/Y [[[fin year]]].(Only for domestic bidders) should be attached. Single Entity and each partners of existing or intended JV must meet this requirement.
847.tender.criteria.0,847,124089,Conflict of Interest,No conflicts of interest in accordance with ITB Sub-Clause 4.3. Single Entity and each partners of existing or intended JV must meet requirement. This shall be evaluated based on Letter of Bid.
847.tender.criteria.1,847,124090,Government-owned Entity,"Bidder required to meet conditions of ITB Sub-Clause 4.5. Single Entity and each partners of existing or intended JV must meet requirement. This shall be evaluated based on Forms ELI - 1, ELI - 2, with attachments."
847.tender.criteria.2,847,124091,UN Eligibility,"Not having been declared ineligible based on a United Nations resolution or Employer's country law, as described in ITB Sub-Clause 4.8. Single Entity and each partners of existing or intended JV must meet requirement. This shall be evaluated based on Forms ELI - 1, ELI - 2, with attachments."
847.tender.criteria.3,847,124092,Other Eligibility: Firm Registration Certificate,Firm Registration Certificate document should be attached. Single Entity and each partners of existing or intended JV must meet this requirement.
847.tender.criteria.4,847,124093,Other Eligibility: Business Registration Certificate,Business Registration Certificate document should be attached. Single Entity and each partners of existing or intended JV must meet this requirement.
847.tender.criteria.5,847,124094,Other Eligibility: Business Licence Renewal Certificate,Business Licence Renewal Certificate document should be attached. Single Entity and each partners of existing or intended JV must meet this requirement.
847.tender.criteria.6,847,124095,Other Eligibility: VAT and PAN Registration certificate,VAT and PAN Registration certificate (only for domestic bidders) should be attached. Single Entity and each partners of existing or intended JV must meet this requirement.
847.tender.criteria.7,847,124096,Other Eligibility: Tax Clearance certificate,Tax Clearance Certificate/Tax return submission evidence for the F/Y [[[fin year]]].(Only for domestic bidders) should be attached. Single Entity and each partners of existing or intended JV must meet this requirement.
848.tender.criteria.0,848,123765,Conflict of Interest,No conflicts of interest in accordance with ITB Sub-Clause 4.3. Single Entity and each partners of existing or intended JV must meet requirement. This shall be evaluated based on Letter of Bid.
848.tender.criteria.1,848,123766,Government-owned Entity,"Bidder required to meet conditions of ITB Sub-Clause 4.5. Single Entity and each partners of existing or intended JV must meet requirement. This shall be evaluated based on Forms ELI - 1, ELI - 2, with attachments."
