contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
10/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",PREFAB BUILDING CONSTRUCTION AT WARD 4,1938990.79,Works,NCB,Completed
FRM/Sindhuli/Works/SQ/02/082-83,"Fikkal Rural Municipality,",Construction of Arubot Road of phikkal-01,1395295.11,Works,Sealed Quotation,Completed
11/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Electrification and Interior decoration in nagar sabha haal at mahila sanjal,1899240.6,Works,Sealed Quotation,Completed
FRM/Sindhuli/Works/NCB/08/082-83,"Fikkal Rural Municipality,","Construction Works of Kallaghari Bahundada Bhujeltole Drinking Water Supply Project, Phikkal-1",2344711.89,Works,NCB,In-Progress
FRM/Sindhuli/Works/SQ/03/082-83,"Fikkal Rural Municipality,",Maintenance Works of ward no.1 office Building,1877813.81,Works,Sealed Quotation,In-Progress
FRM/Sindhuli/Works/NCB/07/082-83,"Fikkal Rural Municipality,","Road Construction Works of Ward 2,3,4 and 6 of Phikkal Rural Municipality",2599016.71,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/04/2082/083,"Champadevi Rural Municipality, Okhaldhunga",Gaupalika kendra chipling ghorakhori bilandu sadak istarunnati yojana,5044747.47,Works,NCB,Completed
FRM/Sindhuli/Works/NCB/05/082-83,"Fikkal Rural Municipality,","Construction and Maintenance of Mini Trauma Center and Bandre Cold Store, phikkal Ward No.-03 & 04",3728867.82,Works,NCB,In-Progress
IDOKAVRE/NCB/W/65/078/079,Infrastructure Development Office Kavrepalanchok,"Upgrading Works on Narayantar Khahare Chunitar Tindhare Jane Road and Narayantar Khahare Chunitar Tindhare Jane Road, Roshi Rural Municipality - 01",51008842.74,Works,NCB,In-Progress
IDOKAVRE/W/NCB/51/080/081,Infrastructure Development Office Kavrepalanchok,"Construction of Andheri Khola Bridge, Roshi - 3, Roshi Rural municipality.",44282935.01,Works,NCB,In-Progress
13/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Construction of Janahit School Building at Kalika 3,2518941.78,Works,NCB,Completed
12/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Construction of Pipariya School Building Kalika 2,2976143.92,Works,NCB,In-Progress
Mahalaxmi/W/NCB/08/2082/83,"Mahalaxmi Municipality, Office of Municipal Executive",Sitapakha Chowk Bata Uttar- Purbha Dhala Nirman,1879504.26,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/03/2082/083,"Champadevi Rural Municipality, Okhaldhunga",Ward NO 2 THUTEPIPPAL BADAHARE RAJAIYA SIRAULA DAMASEE HUDAI NAWALPURGHAT SADAK NIRMAN,4534328.46,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/05/2082/083,"Champadevi Rural Municipality, Okhaldhunga",bahundanda bilandu mishrabhanjyang girijachowk jaukhuriya silung falatebhanjyang sadak istaarunnati yojana,9497837.66,Works,NCB,In-Progress
Mahalaxmi/W/NCB/27/2081/82,"Mahalaxmi Municipality, Office of Municipal Executive",Construction of Jagadishwar Paati ( Falcha) at Ward no. 4,2062940.17,Works,NCB,In-Progress
Mahalaxmi/W/NCB/24/2081/82,"Mahalaxmi Municipality, Office of Municipal Executive",Construction of Road from Lakhuri Bhanjyang to Manmohan park,9980836.14,Works,NCB,In-Progress
14/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Thang Khola River Training Management Works,21166958.21,Works,NCB,In-Progress
15/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Samipur towards east Canal Lining Works Kalika 2,2815654.67,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/06/2082/083,"Champadevi Rural Municipality, Okhaldhunga",construction of gyan prakash ma vi 06 ghorakhori 2-c-4 class room building & reating wall,6918530.58,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/07/2082/083,"Champadevi Rural Municipality, Okhaldhunga",construction of gyan prakash mabi 3-c-9,10303130.53,Works,NCB,In-Progress
16/Works/SQ/KM/082/083,"kalika Municipality Office , Chitwan",Maintenance of Ward 5 Building of Kalika Municipality,1296946.15,Works,Sealed Quotation,Completed
15-MM/KPIL/BDG/Works/082/083,Maharajganj Municipality,Ward no. 11 Sowastha Karyalaye ko Boundary wall Gate Nirman,2299747.26,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/08/2082/083,"Champadevi Rural Municipality, Okhaldhunga",RUDRAKSHOWER MAHADEV TATHA BHIMENSTHAN SANKRASHAN CHAMPADEVI 10,3060220.78,Works,NCB,In-Progress
17/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Different Canal Construction in Ward No. 6 and 7,4092977.54,Works,NCB,In-Progress
