source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page153_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page153_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page153_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page154_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page154_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page154_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page155_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page155_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page155_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page156_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page156_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page156_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page157_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page157_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page157_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page158_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page158_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page158_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page159_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page159_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page159_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page160_table1.csv,16,0,0,7,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page160_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page160_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page161_table1.csv,5,0,0,1,4,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page161_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page161_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page33_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page33_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page33_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page34_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page34_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page34_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page35_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page35_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page35_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page36_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page36_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page36_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page37_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page37_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page37_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page38_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page38_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page38_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page39_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page39_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page39_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page40_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page40_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page40_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page41_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page41_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page41_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page42_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page42_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page42_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page43_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page43_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page43_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page44_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page44_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page44_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page45_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page45_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page45_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page46_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page46_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page46_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page47_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page47_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page47_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page48_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page48_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page48_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page49_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page49_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page49_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page50_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page50_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page50_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page51_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page51_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page51_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page52_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page52_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page52_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page53_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page53_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page53_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page54_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page54_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page54_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page55_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page55_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page55_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page56_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page56_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page56_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page57_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page57_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page57_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page58_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page58_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page58_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page59_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page59_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page59_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page60_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page60_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page60_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page61_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page61_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page61_table1_unknown.csv
