contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
UDB-RUP/37000012/NCB/078-79/49,"Urban Development and Building Office, Rupandehi","Construction of Shed (truss) of Pratappur Healthpost, Belatari.",1303315.45,Works,NCB,In-Progress
UDB-RUP/34701013/NCB/078-79/66,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure at Gausala, Tilottama-1 & 8. Rupandehi.",2867116.23,Works,NCB,Completed
UDB-RUP/34701013/NCB/078-79/68,"Urban Development and Building Office, Rupandehi","Construction of Compound wall at Tharu sanskritik. sainamaina-04, kusma, Rupandehi.",1071455.27,Works,NCB,Completed
RIDO/RUP/LRBP/BR/134/NCB/078-79/52,"Road Infrastructure Development office, Rupandehi","Construction of Bhaluhi Khola RCC Tee Beam Bridge , West Nawalparasi",105937430.23,Works,NCB,Completed
UDB-RUP/33704014/NCB/077-78/04,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Ramgram, Nawalparasi",9363155.14,Works,NCB,In-Progress
41-BMC/2078/079/W/NCB/121,Bharatpur Metropolitian City Office,Construction of Drain from Buddha Chowk canal to Bishal chowk Bmc 07,3968712.74,Works,NCB,Completed
40-BMC/2078/079/W/NCB/118,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Naurange Sayapatri Marga Street no 7 and 12, BMC-11",3798079.72,Works,NCB,Completed
18-BMC/2078/079/W/NCB/41,Bharatpur Metropolitian City Office,Blacktopping of Different Roads in BMC-25 (4 Roads),10067306.0,Works,NCB,Completed
UDB-RUP/33704014/NCB/077-78/14,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Sandikharka Bazar, Arghakhachi",8857262.55,Works,NCB,In-Progress
18-BMC/2078/079/W/NCB/42,Bharatpur Metropolitian City Office,"""Construction of Blacktopped Road Construction from Keuri Ghol Pul to Binod Mahato's House to Milan Samuha to Ramlal Chowk to Bangala, BMC-26""",9514847.75,Works,NCB,Completed
UDBO/ILAM/W/NCB/11/075-76,"Urban Development and Building Office, Ilam","Integrated Development Work at FAlgunanda Buspark at Damak-2, Jhapa",151986872.13,Works,NCB,In-Progress
UDB-RUP/33704014/NCB/077-78/20,"Urban Development and Building Office, Rupandehi","Construction of Footpath at Kalikapath Butwal, Rupandehi",45432550.88,Works,NCB,In-Progress
UDB-RUP/33704014/NCB/077-78/21,"Urban Development and Building Office, Rupandehi","Construction of Footpath and Drain(Remaining Works)at Kalikapath,Butwal,Rupandehi",11650443.33,Works,NCB,In-Progress
NCB-14/078/79,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Akabarpur Katautiya Trail Bridge",29514138.68,Works,NCB,Completed
29-BHR/2078/079/W/NCB/83,Bharatpur Metropolitian City Office,"Construction of stone masonary wall at Pungikhola, BMC 01",1104643.93,Works,Sealed Quotation,Completed
29-BHR/2078/079/W/NCB/85,Bharatpur Metropolitian City Office,Different Road Construction Works at BMC-09,6018149.0,Works,NCB,Completed
UDBO/ILAM/W/NCB/08/076-077,"Urban Development and Building Office, Ilam","Construction of Blacktop Road from Solmari Chowk to Sarangpada Bazar, Kamal Gaupalika, Jhapa",38318890.4,Works,NCB,In-Progress
30-BHR/2078/079/W/NCB/87,Bharatpur Metropolitian City Office,"Multipurpose Building Construction works for Federation of Nepal Beekepers,BMC 12 chitwan",3467367.99,Works,NCB,Completed
20-BMC/2078/079/G/SQ/49-RE,Bharatpur Metropolitian City Office,Procurement of Disaster Relief Supplies for BMC,1289555.0,Goods,Sealed Quotation,Completed
20-BMC/2078/079/W/SQ/50,Bharatpur Metropolitian City Office,"Road Upgradation Works with Drainage System in Indra Marga, BMC-9",995577.69,Works,Sealed Quotation,Completed
RIDORUP/RUP/134/NCB/078-79/153,"Road Infrastructure Development office, Rupandehi","Malwar Devi Korange tole Rastrapati Marg Haraiya Nanauli Road ,Rupandehi",14542708.09,Works,NCB,Completed
40-BMC/2078/079/W/NCB/117,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Hemlal Tole, BMC-23",3745165.82,Works,NCB,In-Progress
RE-39-BMC/2078/079/W/SQ/116,Bharatpur Metropolitian City Office,"Maintenance Of Conference Hall Of Family Planning Association Of Nepal, BMC 12",1656719.22,Works,Sealed Quotation,Completed
23-BMC/2078/079/W/NCB/59,Bharatpur Metropolitian City Office,"""Laxman Paudel Gharchowk Dekhi Manav Seva Aashram Hudai Newroad Jane Tarfa Drain Nirman kaarya, BMC 3""",4054859.0,Works,NCB,Completed
29-BHR/2078/079/W/NCB/94,Bharatpur Metropolitian City Office,Blacktopped Road Construction from Balkrishna Subedi’s House to Rangila Pokhari to Aslal Guru’s House (BMC-21),3280429.0,Works,NCB,In-Progress
1-BMC/2078/079/W/NCB/1,Bharatpur Metropolitian City Office,Periodic Maintenance Works of Pulchowk-Narayangarh Buspark Road Section at Bharatpur,19169905.0,Works,NCB,In-Progress
35-BHR/2078/079/W/NCB/105,Bharatpur Metropolitian City Office,Blacktopped road construction (Patlaharu Tharu Village to Panchakanya Chowk) at BMC 22,2372651.72,Works,NCB,In-Progress
23-BMC/2078/079/W/NCB/60,Bharatpur Metropolitian City Office,"""Chokraj Dhakalko Ghar Bata Paschim Tarfa 13 ra 14 ko Simana Hudai Salitaareko Ghar Samma Sadak Kaalopatre""",3222332.37,Works,NCB,In-Progress
38-BMC/2078/079/W/NCB/106,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,3938545.32,Works,NCB,In-Progress
39-BMC/2078/079/W/NCB/107,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Milijuli Chowk To Nursery Chowk, BMC-16",4602969.12,Works,NCB,Completed
2-BMC/2078/079/G/NCB/2,Bharatpur Metropolitian City Office,Procurement of Sanitary Pad as per Specification.,9263399.98,Goods,NCB,Completed
29-BHR/2078/079/W/NCB/96,Bharatpur Metropolitian City Office,"Blacktopped Road Construction works(From Telauli Medical Chowk to Til Kumari sunars house, Chitaunes house to bridge muna chowk to dal bahadur ales house telauli kshetri chowk to janakalyan and shanka",4079458.77,Works,NCB,Completed
UDB-RUP/35000021/NCB/077-78/33,"Urban Development and Building Office, Rupandehi","Building Construction Work of Maternity Block at Bhim Hospital, Bhairahawa, Rupandehi",96593588.04,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/05/075-76,"Urban Development and Building Office, Ilam","Construction of Physical Infrastructures at Kankai Muktighat, Shivasatashi, Jhapa",25177870.36,Works,NCB,Completed
39-BMC/2078/079/W/NCB/108,Bharatpur Metropolitian City Office,Blacktopped Road Construction Works(Hemlal Mahatoko Culvert Dekhi Purba Dadrahani Chowk Jane Bato) BMC20,4381654.67,Works,NCB,In-Progress
35-BMC/2078/079/W/NCB/97,Bharatpur Metropolitian City Office,"construction of Tekwando Dojangko Covered Hall, BMC 26 chitwan",3385312.2,Works,NCB,In-Progress
UDB-RUP/33704013/NCB/077-78/34,"Urban Development and Building Office, Rupandehi","Building Construction Work of Veterinary Referral Hospital, Bhairahawa, Rupandehi",108755917.17,Works,NCB,In-Progress
35-BMC/2078/079/W/NCB/98,Bharatpur Metropolitian City Office,"Blacktopped Road construction from basanta chowk to shree krishna sir's house to baburam chowk,BMC-18",2554046.34,Works,NCB,In-Progress
37-BMC/2078/079/W/NCB/102,Bharatpur Metropolitian City Office,"Construction of Additional Storey in Sukranagar Health Post, BMC-25",2843119.23,Works,NCB,Completed
UDB-RUP/33704012/NCB/077-78/38,"Urban Development and Building Office, Rupandehi","Upgrading works of Road at Magarmudaha & Basnta ma.vi Tola ( Ekikrit Basti Bikas), Sarawal",14581704.87,Works,NCB,In-Progress
3-BMC/2078/079/G/NCB/3,Bharatpur Metropolitian City Office,Procurement of Stationery-Masland related Goods.,6575074.5,Goods,NCB,Completed
38-BMC/2078/079/W/NCB/105,Bharatpur Metropolitian City Office,Blacktopped road construction (Patlaharu Tharu Village to Panchakanya Chowk) at BMC 22,2372651.72,Works,NCB,In-Progress
UDB-RUP/33704013/NCB/077-78/44,"Urban Development and Building Office, Rupandehi","Construction of Truss Building at Prithivi Chandra Hospital,Parasi,West Nawalparasi",12680837.85,Works,NCB,Completed
4-BMC/2078/079/G/NCB/4,Bharatpur Metropolitian City Office,"Procurement of Printed Forms and Documents for Office, BMC",1886094.3,Goods,NCB,Completed
UDB-RUP/350000194/077-78/48,"Urban Development and Building Office, Rupandehi","Province Library Building Construction Work,Butwal-12,Rupandehi",28842011.76,Works,NCB,In-Progress
42-BMC/2078/079/W/NCB/125,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from South of Nahar Chowk to Rajendra Sankhi's House, BMC-14",2528763.16,Works,NCB,Completed
42-BMC/2078/079/W/NCB/126,Bharatpur Metropolitian City Office,Construction of Blacktop ped Roads in different Toles of BMC-7,9026258.36,Works,NCB,In-Progress
UDB-RUP/35000014/NCB/076-77/47,"Urban Development and Building Office, Rupandehi","Construction of Academic (Block A and B) & Hostel (Girls Block and Boys Block) Building, Kanti Ma. Vi., Butwal-4, Kantipath, Rupandehi",136501957.59,Works,NCB,Completed
UDB-RUP/34701013/NCB/078-79/39,"Urban Development and Building Office, Rupandehi","Building Construction Works of Water Supply & Sanitation Division Office at Yogikuti, Rupandehi.",16188101.93,Works,NCB,In-Progress
43-BMC/2078/079/G/SQ/127,Bharatpur Metropolitian City Office,Supply and Delivery of NP3 Hume Pipes Of Different Sizes At BMC(1-29),1735397.5,Goods,Sealed Quotation,Completed
24-BMC/2078/079/W/NCB/65,Bharatpur Metropolitian City Office,"""Madhybindu Tole Bikas Sanstha Antargat Purba Ganesh Chowksamma Kalopatre Nirman Kaary, BMC 07""",3703298.72,Works,NCB,Completed
43-BMC/2078/079/W/NCB/129,Bharatpur Metropolitian City Office,"Blacktopped Road Construction (Namaste Chowk Purba Sadak), BMC-14",2445101.62,Works,NCB,Completed
9-BMC/2078/079/W/NCB/12,Bharatpur Metropolitian City Office,Construction of Surface Drainage System in BMC-10,6902223.68,Works,NCB,Completed
25-BMC/2078/079/W/SQ/67,Bharatpur Metropolitian City Office,"Road Construction Works At Prerana Marga, Baikuntha path, BMC-4",729062.89,Works,Sealed Quotation,Completed
43-BMC/2078/079/W/NCB/130,Bharatpur Metropolitian City Office,"Drainage and Blacktopped Road Construction , BMC-10 (Purano Synergy Chowk Dekhi Naya Synergy chowk samma)",2530618.28,Works,NCB,Completed
