source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/extracted_tables/page_145_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_145_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_145_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_146_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_146_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_146_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_147_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_147_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_147_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_148_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_148_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_148_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_149_table_1.csv,13,4,0,0,9,/home/suchita/Desktop/Final Arranged Data/Federal/page_149_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_149_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_150_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_150_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_150_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_151_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_151_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_151_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_152_table_1.csv,13,4,0,0,9,/home/suchita/Desktop/Final Arranged Data/Federal/page_152_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_152_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_153_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_153_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_153_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_154_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_154_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_154_table_1_unknown.csv
